Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
HFC,HollyFrontier Corporation,70.76,12466175620,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hfc
HUSA,Houston American Energy Corporation,0.2365,14471990.3,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa
HUBG,"Hub Group, Inc.",46.15,1586709225,n/a,United States,1996,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/hubg
IDA,"IDACORP, Inc.",98.19,4948079146,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ida
IMO,Imperial Oil Limited,32.49,25854253089,n/a,Canada,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo
IO,Ion Geophysical Corporation,15.3,214245884.7,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/io
ISRL,"Isramco, Inc.",122.25,332232468,n/a,United States,1983,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/isrl
JAG,Jagged Peak Energy Inc.,14.06,2997300002,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jag
JSYN,Jensyn Acquistion Corp.,11.4,23726842.8,n/a,United States,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsyn
JSYNR,Jensyn Acquistion Corp.,0.37,0,n/a,United States,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynr
JSYNU,Jensyn Acquistion Corp.,12.25,0,n/a,United States,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynu
JSYNW,Jensyn Acquistion Corp.,0.11,0,n/a,United States,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynw
JONE,"Jones Energy, Inc.",6.99,35951226.63,n/a,United States,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jone
JE,"Just Energy Group, Inc.",3.07,458201276.1,n/a,Canada,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/je
FRAC,"Keane Group, Inc.",12.86,1409789627,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac
KEG,"Key Energy Services, Inc.",12.51,253259258,n/a,United States,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg
KRP,Kimbell Royalty Partners,22.14,594225688.7,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp
KMI,"Kinder Morgan, Inc.",17.88,39458101984,n/a,United States,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/kmi
KLXE,"KLX Energy Services Holdings, Inc. ",30.43,0,n/a,United States,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/klxe
LPI,"Laredo Petroleum, Inc.",8.78,2064626702,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lpi
LGCY,Legacy Reserves Inc.,4.98,383106564.4,n/a,United States,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lgcy
LBRT,Liberty Oilfield Services Inc.,21.68,2561827715,n/a,United States,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/lbrt
LLEX,"Lilis Energy, Inc.",4.9,314814675.7,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex
LONE,Lonestar Resources US Inc.,8.34,205473639.2,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lone
MIC,Macquarie Infrastructure Corporation ,46.28,3950962105,n/a,United States,2004,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mic
MMP,Magellan Midstream Partners L.P.,68.02,15521834783,n/a,United States,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/mmp
MGY,Magnolia Oil & Gas Corporation,14.45,2464181129,n/a,United States,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mgy
TUSK,"Mammoth Energy Services, Inc.",29.37,1314474263,n/a,United States,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk
MRO,Marathon Oil Corporation,22.49,19209777230,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,85.05,38358185664,n/a,United States,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/mpc
MARPS,Marine Petroleum Trust,4.0708,8141600,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/marps
MMLP,Martin Midstream Partners L.P.,11.2,437385054.4,n/a,United States,2002,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mmlp
MTDR,Matador Resources Company,32.86,3823760998,n/a,United States,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mtdr
MPAC,Matlin & Partners Acquisition Corporation,10,93214920,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/mpac
MPACU,Matlin & Partners Acquisition Corporation,10.75,0,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/mpacu
MPACW,Matlin & Partners Acquisition Corporation,0.7701,0,n/a,United States,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/mpacw
MTR,Mesa Royalty Trust,14.35,26742516.5,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mtr
MXC,Mexco Energy Corporation,5.29,10792478.14,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc
MGEE,MGE Energy Inc.,63.15,2189307566,n/a,United States,n/a,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/mgee
MCEP,"Mid-Con Energy Partners, LP",1.5799,48086032.31,n/a,United States,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcep
MPO,"MIDSTATES PETROLEUM COMPANY, INC.",8.99,227060043.4,n/a,United States,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mpo
MPLX,MPLX LP,34.5,27394129461,n/a,United States,2012,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/mplx
MUR,Murphy Oil Corporation,32.55,5632687857,n/a,United States,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mur
MVO,MV Oil Trust,11.47,131905000,n/a,United States,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mvo
